URL,Avg_DOMContentLoadedTime_ms,Avg_LoadTime_ms,Avg_PageLoadApiTime_ms,Avg_DOMContentLoadedApiTime_ms,Avg_TotalTransferredBytes,Avg_TotalTransferredMB,Avg_DOMElementCount,HomepageLinkFound,HomepageLinkHref_Identified,Avg_HomepageNavigationTime_ms
"https://rice.place/",2946.25,14001.8,13994.53,2941.27,4887383,4.66,81,true,"https://rice.place/home.html",34456.99
"https://districts.nekoweb.org/",1634.78,3213.24,3209,1630.77,297676,0.28,117,false,"N/A",N/A
"https://dimden.nekoweb.org/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://callie.garden/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://mars.nekoweb.org/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://felixfever.nekoweb.org/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://joo.sh/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://mypillowfort.net/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://yatagarasu.nekoweb.org/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://thinliquid.dev/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://everythingisblurry.com/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://pollygon.dev/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
"https://electric-tenshi.nekoweb.org/",N/A,N/A,N/A,N/A,N/A,N/A,N/A,false,"N/A",N/A
